# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.410551e+00 3.259457e-01 4.190521e-22)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.629729e-01 7.052757e-01 1.631775e-01))
50            	((-8.479456e+01 1.204506e+03 3.045207e-18) (6.562582e+00 4.238847e-01 2.047228e-20)) ((-6.022532e+02 -4.239728e+01 3.304270e+02) (-2.119423e-01 3.281291e+00 7.108645e-02))
100           	((-1.353546e+02 1.341743e+03 3.426047e-18) (5.773104e+00 5.867937e-01 2.189972e-20)) ((-6.708715e+02 -6.767730e+01 3.499577e+02) (-2.933968e-01 2.886552e+00 1.166845e-01))
150           	((-1.486945e+02 1.326334e+03 3.352181e-18) (5.534530e+00 6.472326e-01 2.257920e-20)) ((-6.631672e+02 -7.434727e+01 3.227655e+02) (-3.236163e-01 2.767265e+00 1.367721e-01))
200           	((-1.525196e+02 1.327776e+03 3.356796e-18) (5.491780e+00 6.506016e-01 2.321435e-20)) ((-6.638882e+02 -7.625981e+01 3.143248e+02) (-3.253008e-01 2.745890e+00 1.269952e-01))
250           	((-1.570938e+02 1.354863e+03 3.435177e-18) (5.502215e+00 6.433642e-01 2.370639e-20)) ((-6.774316e+02 -7.854692e+01 3.216592e+02) (-3.216821e-01 2.751108e+00 1.111396e-01))
300           	((-1.623148e+02 1.387622e+03 3.524909e-18) (5.531876e+00 6.424451e-01 2.404171e-20)) ((-6.938110e+02 -8.115740e+01 3.329805e+02) (-3.212226e-01 2.765938e+00 1.017278e-01))
350           	((-1.668598e+02 1.416335e+03 3.599989e-18) (5.542873e+00 6.452175e-01 2.424929e-20)) ((-7.081677e+02 -8.342992e+01 3.435407e+02) (-3.226087e-01 2.771436e+00 9.682051e-02))
400           	((-1.704536e+02 1.436678e+03 3.651542e-18) (5.537138e+00 6.489229e-01 2.440232e-20)) ((-7.183389e+02 -8.522682e+01 3.506401e+02) (-3.244614e-01 2.768569e+00 9.424815e-02))
450           	((-1.729345e+02 1.449135e+03 3.682701e-18) (5.526337e+00 6.518847e-01 2.451129e-20)) ((-7.245673e+02 -8.646725e+01 3.546214e+02) (-3.259423e-01 2.763169e+00 9.271592e-02))
500           	((-1.744972e+02 1.456468e+03 3.701009e-18) (5.517119e+00 6.537370e-01 2.458311e-20)) ((-7.282341e+02 -8.724861e+01 3.568113e+02) (-3.268685e-01 2.758559e+00 9.164718e-02))
