0.001		211           	1.907104e-05	2.047035e-02	8.009844e-05	5.912026e-05	2.097819e-05
2.5		221           	4.749999e-02	1.656708e-02	1.919373e-01	1.434686e-01	4.846867e-02
5		3000          	7.760630e-02	1.746305e-02	2.852298e-01	2.202212e-01	6.500858e-02
7.5		974           	1.045290e-01	3.366006e-02	3.365097e-01	2.727839e-01	6.372579e-02
10		3000          	1.006919e-01	3.301380e-02	3.643961e-01	2.828900e-01	8.150611e-02
12		3000          	2.055826e-01	3.957226e-02	5.344717e-01	4.728184e-01	6.165325e-02
15		3000          	2.342380e-01	4.215378e-02	6.080825e-01	5.382793e-01	6.980323e-02
20		3000          	2.663376e-01	4.914916e-02	8.115728e-01	6.721239e-01	1.394488e-01
25		3000          	5.322451e-01	6.547614e-02	1.337679e+00	1.201085e+00	1.365944e-01
30		3000          	3.418166e-01	5.190250e-02	9.048547e-01	7.942440e-01	1.106107e-01
